file_name,device_serial,host_ip,iteration,mBands,ssRsrp,ssRsrq,ssSinr,level,mean_ssRsrp,mean_ssRsrq,mean_ssSinr
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,50,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,51,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,52,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,53,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,54,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,55,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,56,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,57,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,58,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,59,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,60,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,61,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,62,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,63,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,64,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,65,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,66,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,67,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,68,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,69,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,70,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,71,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,72,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,73,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,74,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,75,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,76,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,77,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,78,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,79,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,80,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,81,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,82,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,83,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,84,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,85,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,86,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,87,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,88,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,89,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,90,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,91,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,92,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,93,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,94,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,95,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,96,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,97,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,98,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,99,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,100,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,101,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,102,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,103,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,104,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,105,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,106,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,107,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,108,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,109,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,110,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,111,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,112,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,113,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,114,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,115,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,116,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,117,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,118,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,119,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,120,78,-54,-11,32,4,-54,-11,32
