time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,56,0,1.5,88699.5,3922.5
3000,0,0,25,56,0,1.5,96888.3,4968.26
4000,0,0,25,56,0,1.5,99226.2,4883.14
5000,0,0,25,56,0,1.5,93539,4506.69
6000,0,0,25,56,0,1.5,89775.8,4248
7000,0,0,25,56,0,1.5,93906,4152.51
8000,0,0,25,56,0,1.5,88759.8,4144.26
9000,0,0,25,56,0,1.5,77592.5,3710.85
10000,0,0,25,56,0,1.5,98793.4,4368.42
11000,0,0,25,56,0,1.5,81318,3694.91
12000,0,0,25,56,0,1.5,59190.4,2748.03
13000,0,0,25,56,0,1.5,58941.1,2606.24
14000,0,0,25,56,0,1.5,78401.6,3466.94
15000,0,0,25,56,0,1.5,90001.6,3979.46
16000,0,0,25,56,0,1.5,74426.7,3371.97
17000,0,0,25,56,0,1.5,58823.5,2660.54
18000,0,0,25,56,0,1.5,47378.7,2149.31
19000,0,0,25,56,0,1.5,40694.3,1847.01
20000,0,0,25,56,0,1.5,50149.3,2217.7
21000,0,0,25,56,0,1.5,59341,2680.77
22000,0,0,25,56,0,1.5,38916.2,1765.73
23000,0,0,25,56,0,1.5,40073.4,1772.16
24000,0,0,25,56,0,1.5,39217.2,1778.37
25000,0,0,25,56,0,1.5,46146.2,2088.42
26000,0,0,25,56,0,1.5,45365.4,2005.95
27000,0,0,25,56,0,1.5,53959.6,2439.01
28000,0,0,25,56,0,1.5,34452.1,1563.58
29000,0,0,25,56,0,1.5,43535.5,1924.83
30000,0,0,25,56,0,1.5,36484.2,1656.77
31000,0,0,25,56,0,1.5,51706.4,2286.34
32000,0,0,25,56,0,1.5,39438.3,1794.34
33000,0,0,25,56,0,1.5,61297.8,2710.24
34000,0,0,25,56,0,1.5,72385.2,3200.7
35000,0,0,25,56,0,1.5,26511.7,1315.78
36000,0,0,25,56,0,1.5,31131.1,1411.84
37000,0,0,25,56,0,1.5,22894.4,1038.11
38000,0,0,25,56,0,1.5,27513.7,1248.35
39000,0,0,25,56,0,1.5,22781.5,1034.21
40000,0,0,25,56,0,1.5,35247.1,1558.34
41000,0,0,25,56,0,1.5,46254.4,2045.47
42000,0,0,25,56,0,1.5,62817.2,2777.63
43000,0,0,25,56,0,1.5,79050.7,3495.23
44000,0,0,25,56,0,1.5,95387.7,4217.82
45000,0,0,25,56,0,1.5,76120.1,3445.7
46000,0,0,25,56,0,1.5,35665.7,1687.97
47000,0,0,25,56,0,1.5,51146.6,2261.38
48000,0,0,25,56,0,1.5,42336,1922.46
49000,0,0,25,56,0,1.5,47449.2,2148.35
50000,0,0,25,56,0,1.5,47642.1,2106.62
51000,0,0,25,56,0,1.5,44664.5,2024.67
52000,0,0,25,56,0,1.5,54726.3,2419.87
53000,0,0,25,56,0,1.5,77714.8,3436.16
54000,0,0,25,56,0,1.5,79525.8,3588.19
55000,0,0,25,56,0,1.5,51174.8,2317.57
56000,0,0,25,56,0,1.5,61123.8,2702.75
57000,0,0,25,56,0,1.5,80076.2,3540.99
58000,0,0,25,56,0,1.5,71044.5,3212.42
59000,0,0,25,56,0,1.5,46329.7,2149.98
60000,0,0,25,56,0,1.5,26859.8,1219.71
61000,0,0,25,56,0,1.5,26714,1213.06
