time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,56,0,1.5,298592,12985.1
3000,0,0,25,56,0,1.5,444467,18695.9
4000,0,0,25,56,0,1.5,466975,19172.2
5000,0,0,25,56,0,1.5,481299,20100.3
6000,0,0,25,56,0,1.5,474687,22715.7
7000,0,0,25,56,0,1.5,475327,23000.6
8000,0,0,25,56,0,1.5,472751,23346.3
9000,0,0,25,56,0,1.5,472530,23714.5
10000,0,0,25,56,0,1.5,474376,23978.7
11000,0,0,25,56,0,1.5,470734,24816.9
12000,0,0,25,56,0,1.5,473509,23336.8
13000,0,0,25,56,0,1.5,476593,21741.4
14000,0,0,25,56,0,1.5,476432,23041
15000,0,0,25,56,0,1.5,472274,23157.9
16000,0,0,25,56,0,1.5,473536,23469.9
17000,0,0,25,56,0,1.5,471416,23859.3
18000,0,0,25,56,0,1.5,474722,24975.4
19000,0,0,25,56,0,1.5,471659,24184.2
20000,0,0,25,56,0,1.5,478309,22104.2
21000,0,0,25,56,0,1.5,475040,23259.4
22000,0,0,25,56,0,1.5,475215,23167.5
23000,0,0,25,56,0,1.5,469459,24535.7
24000,0,0,25,56,0,1.5,474893,22882.9
25000,0,0,25,56,0,1.5,474567,23027.3
26000,0,0,25,56,0,1.5,471132,24617.6
27000,0,0,25,56,0,1.5,474764,22912.9
28000,0,0,25,56,0,1.5,476083,24738.3
29000,0,0,25,56,0,1.5,472447,23935
30000,0,0,25,56,0,1.5,475354,23373
31000,0,0,25,56,0,1.5,476895,22564.7
32000,0,0,25,56,0,1.5,467525,26574.9
33000,0,0,25,56,0,1.5,475538,23048.5
34000,0,0,25,56,0,1.5,475150,23162.5
35000,0,0,25,56,0,1.5,474431,24217
36000,0,0,25,56,0,1.5,472429,22836.3
37000,0,0,25,56,0,1.5,474595,23568.1
38000,0,0,25,56,0,1.5,475128,23829.3
39000,0,0,25,56,0,1.5,474328,23686.6
40000,0,0,25,56,0,1.5,473852,23663.7
41000,0,0,25,56,0,1.5,476537,21541.3
42000,0,0,25,56,0,1.5,474605,24454.6
43000,0,0,25,56,0,1.5,471380,23776.9
44000,0,0,25,56,0,1.5,469918,23996.1
45000,0,0,25,56,0,1.5,476128,22211.5
46000,0,0,25,56,0,1.5,475760,23407.9
47000,0,0,25,56,0,1.5,473261,22922.8
48000,0,0,25,56,0,1.5,467885,26148.9
49000,0,0,25,56,0,1.5,475929,22347.5
50000,0,0,25,56,0,1.5,473775,23409.6
51000,0,0,25,56,0,1.5,474395,23392.1
52000,0,0,25,56,0,1.5,476422,22223.6
53000,0,0,25,56,0,1.5,473937,23413.7
54000,0,0,25,56,0,1.5,473751,23181.2
55000,0,0,25,56,0,1.5,473549,23123.8
56000,0,0,25,56,0,1.5,470477,25172.6
57000,0,0,25,56,0,1.5,475745,22953.2
58000,0,0,25,56,0,1.5,471381,25796.2
59000,0,0,25,56,0,1.5,475780,22650.8
60000,0,0,25,56,0,1.5,472343,23807.3
61000,0,0,25,56,0,1.5,474026,22547.6
62000,0,0,25,56,0,1.5,473968,23142.1
63000,0,0,25,56,0,1.5,474920,22253.1
64000,0,0,25,56,0,1.5,471560,23681.2
65000,0,0,25,56,0,1.5,475297,24378.8
66000,0,0,25,56,0,1.5,471999,25540.7
67000,0,0,25,56,0,1.5,475792,22802.6
68000,0,0,25,56,0,1.5,475501,23669.6
69000,0,0,25,56,0,1.5,470614,24462
70000,0,0,25,56,0,1.5,475402,23307.2
71000,0,0,25,56,0,1.5,476519,22684.1
72000,0,0,25,56,0,1.5,470859,23304.3
73000,0,0,25,56,0,1.5,472843,24162.9
74000,0,0,25,56,0,1.5,474407,23061.8
75000,0,0,25,56,0,1.5,472551,24147.6
76000,0,0,25,56,0,1.5,476340,23495.7
77000,0,0,25,56,0,1.5,476557,21651.6
78000,0,0,25,56,0,1.5,469511,24707.9
79000,0,0,25,56,0,1.5,474722,23345.9
80000,0,0,25,56,0,1.5,475180,23757.8
81000,0,0,25,56,0,1.5,476054,22870
82000,0,0,25,56,0,1.5,471202,25392.6
83000,0,0,25,56,0,1.5,471323,25501.6
84000,0,0,25,56,0,1.5,478231,21071.6
85000,0,0,25,56,0,1.5,472732,24420
86000,0,0,25,56,0,1.5,476788,21773.4
87000,0,0,25,56,0,1.5,470136,25828.2
88000,0,0,25,56,0,1.5,476611,22053.8
89000,0,0,25,56,0,1.5,471754,24370.9
90000,0,0,25,56,0,1.5,473671,24271.9
91000,0,0,25,56,0,1.5,475916,22325.5
92000,0,0,25,56,0,1.5,475247,24352.6
93000,0,0,25,56,0,1.5,476843,22420.7
94000,0,0,25,56,0,1.5,471821,24927.6
95000,0,0,25,56,0,1.5,472290,23966.2
96000,0,0,25,56,0,1.5,476887,22214
97000,0,0,25,56,0,1.5,471340,24954.6
98000,0,0,25,56,0,1.5,475721,22792.6
99000,0,0,25,56,0,1.5,474896,23229
100000,0,0,25,56,0,1.5,472879,24091.8
101000,0,0,25,56,0,1.5,471550,25225
102000,0,0,25,56,0,1.5,473925,23691.6
103000,0,0,25,56,0,1.5,476500,22424.5
104000,0,0,25,56,0,1.5,476074,23033.9
105000,0,0,25,56,0,1.5,472537,24102.6
106000,0,0,25,56,0,1.5,474689,22858.4
107000,0,0,25,56,0,1.5,470153,25904.3
108000,0,0,25,56,0,1.5,475829,23111.3
109000,0,0,25,56,0,1.5,476480,22933.7
110000,0,0,25,56,0,1.5,474652,24417.1
111000,0,0,25,56,0,1.5,475571,22543
112000,0,0,25,56,0,1.5,473808,23520.6
113000,0,0,25,56,0,1.5,471353,24844.8
114000,0,0,25,56,0,1.5,473751,23125.9
115000,0,0,25,56,0,1.5,475227,22178.6
116000,0,0,25,56,0,1.5,470823,25254.1
117000,0,0,25,56,0,1.5,474764,23669.2
118000,0,0,25,56,0,1.5,476515,21807.1
119000,0,0,25,56,0,1.5,469384,27196.4
120000,0,0,25,56,0,1.5,476128,20866.1
121000,0,0,25,56,0,1.5,476615,23123.8
122000,0,0,25,56,0,1.5,470024,26353.6
123000,0,0,25,56,0,1.5,478932,21607.5
124000,0,0,25,56,0,1.5,472999,24830.6
125000,0,0,25,56,0,1.5,476058,22842.6
126000,0,0,25,56,0,1.5,475504,23622.1
127000,0,0,25,56,0,1.5,472394,23390.8
128000,0,0,25,56,0,1.5,469829,25212.1
129000,0,0,25,56,0,1.5,475511,23771.9
130000,0,0,25,56,0,1.5,477480,22194
131000,0,0,25,56,0,1.5,475202,23281.9
132000,0,0,25,56,0,1.5,470729,25204.2
133000,0,0,25,56,0,1.5,476339,22744
134000,0,0,25,56,0,1.5,474182,24422.9
135000,0,0,25,56,0,1.5,474677,22934.9
136000,0,0,25,56,0,1.5,474431,23910
137000,0,0,25,56,0,1.5,476542,23555.2
138000,0,0,25,56,0,1.5,474402,23725.3
139000,0,0,25,56,0,1.5,472102,23710.8
140000,0,0,25,56,0,1.5,474864,23381.3
141000,0,0,25,56,0,1.5,473766,23233.2
142000,0,0,25,56,0,1.5,475837,23455.3
143000,0,0,25,56,0,1.5,473514,23974.5
144000,0,0,25,56,0,1.5,471801,24335.6
145000,0,0,25,56,0,1.5,476629,22459
146000,0,0,25,56,0,1.5,475178,23495.3
147000,0,0,25,56,0,1.5,475713,23895
148000,0,0,25,56,0,1.5,472207,23608.8
149000,0,0,25,56,0,1.5,470841,24776.1
150000,0,0,25,56,0,1.5,476111,23237.3
151000,0,0,25,56,0,1.5,473390,24271.5
152000,0,0,25,56,0,1.5,471774,24713.3
153000,0,0,25,56,0,1.5,474605,22908.3
154000,0,0,25,56,0,1.5,476950,22714
155000,0,0,25,56,0,1.5,472531,24573.1
156000,0,0,25,56,0,1.5,477129,23243.6
157000,0,0,25,56,0,1.5,472467,25795.3
158000,0,0,25,56,0,1.5,475725,22561.3
159000,0,0,25,56,0,1.5,476947,22413.2
160000,0,0,25,56,0,1.5,472160,25127.2
161000,0,0,25,56,0,1.5,474826,22974.8
162000,0,0,25,56,0,1.5,471273,25845.2
163000,0,0,25,56,0,1.5,476555,21271.3
164000,0,0,25,56,0,1.5,474199,24368
165000,0,0,25,56,0,1.5,474619,22177
166000,0,0,25,56,0,1.5,473961,24518.6
167000,0,0,25,56,0,1.5,474323,25063.6
168000,0,0,25,56,0,1.5,475912,21822.1
169000,0,0,25,56,0,1.5,475651,24005.7
170000,0,0,25,56,0,1.5,472146,24187.1
171000,0,0,25,56,0,1.5,472583,24527.4
172000,0,0,25,56,0,1.5,478280,22298
173000,0,0,25,56,0,1.5,471005,23957
174000,0,0,25,56,0,1.5,474605,23692.4
175000,0,0,25,56,0,1.5,475128,23421.6
176000,0,0,25,56,0,1.5,474495,24232.4
177000,0,0,25,56,0,1.5,475102,22770.2
178000,0,0,25,56,0,1.5,469497,24642.6
179000,0,0,25,56,0,1.5,474669,22875.8
180000,0,0,25,56,0,1.5,475406,23335.1
181000,0,0,25,56,0,1.5,468215,25437.2
182000,0,0,25,56,0,1.5,477764,21854.1
183000,0,0,25,56,0,1.5,475679,22477.3
184000,0,0,25,56,0,1.5,467990,23814.8
185000,0,0,25,56,0,1.5,473771,23797.3
186000,0,0,25,56,0,1.5,474829,24291.5
187000,0,0,25,56,0,1.5,474911,23272.7
188000,0,0,25,56,0,1.5,474615,23810.2
189000,0,0,25,56,0,1.5,473930,22989.4
190000,0,0,25,56,0,1.5,475856,23419.1
191000,0,0,25,56,0,1.5,475016,23476.1
192000,0,0,25,56,0,1.5,469685,26308.3
193000,0,0,25,56,0,1.5,475787,23101.7
194000,0,0,25,56,0,1.5,475078,22511
195000,0,0,25,56,0,1.5,471960,23546.4
196000,0,0,25,56,0,1.5,471142,24788.2
197000,0,0,25,56,0,1.5,476335,23162
198000,0,0,25,56,0,1.5,475629,22682.8
199000,0,0,25,56,0,1.5,472406,24722
200000,0,0,25,56,0,1.5,474530,23120.4
201000,0,0,25,56,0,1.5,474144,22833.8
202000,0,0,25,56,0,1.5,474769,22758.1
203000,0,0,25,56,0,1.5,470860,25286.6
204000,0,0,25,56,0,1.5,475521,22415.3
205000,0,0,25,56,0,1.5,468974,26258.8
206000,0,0,25,56,0,1.5,479529,20688.1
207000,0,0,25,56,0,1.5,474591,22829.7
208000,0,0,25,56,0,1.5,471057,25713.8
209000,0,0,25,56,0,1.5,475053,22168.6
210000,0,0,25,56,0,1.5,472196,24564.4
211000,0,0,25,56,0,1.5,476949,22630.4
212000,0,0,25,56,0,1.5,476667,22954
213000,0,0,25,56,0,1.5,472224,25024.1
214000,0,0,25,56,0,1.5,476724,22305.5
215000,0,0,25,56,0,1.5,471157,24784.4
216000,0,0,25,56,0,1.5,475050,23239
217000,0,0,25,56,0,1.5,471400,24590.6
218000,0,0,25,56,0,1.5,474535,22819.7
219000,0,0,25,56,0,1.5,471881,23850.5
220000,0,0,25,56,0,1.5,474526,22239.4
221000,0,0,25,56,0,1.5,473081,24413.8
222000,0,0,25,56,0,1.5,475579,22163.6
223000,0,0,25,56,0,1.5,475371,23055.1
224000,0,0,25,56,0,1.5,471580,25291.1
225000,0,0,25,56,0,1.5,473323,23554.3
226000,0,0,25,56,0,1.5,473298,24256.5
227000,0,0,25,56,0,1.5,477864,21097
228000,0,0,25,56,0,1.5,472780,24029.4
229000,0,0,25,56,0,1.5,468924,26077.4
230000,0,0,25,56,0,1.5,479489,21427.7
231000,0,0,25,56,0,1.5,470950,24117.2
232000,0,0,25,56,0,1.5,475005,24614.3
233000,0,0,25,56,0,1.5,475434,22350.8
234000,0,0,25,56,0,1.5,476604,23199.1
235000,0,0,25,56,0,1.5,474207,23295.2
236000,0,0,25,56,0,1.5,470420,26143.9
237000,0,0,25,56,0,1.5,478022,21404
238000,0,0,25,56,0,1.5,470459,24475.8
239000,0,0,25,56,0,1.5,475777,22195.7
240000,0,0,25,56,0,1.5,470333,24516.5
241000,0,0,25,56,0,1.5,472362,23856.4
242000,0,0,25,56,0,1.5,476432,22360.8
243000,0,0,25,56,0,1.5,474586,22554.3
244000,0,0,25,56,0,1.5,469922,27036.7
245000,0,0,25,56,0,1.5,480856,20200.1
246000,0,0,25,56,0,1.5,471279,25503.7
247000,0,0,25,56,0,1.5,478207,21755.1
