time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,1,0,-18.64,145346.64
2,1,0,-18.64,380873.82
3,1,0,-18.64,394883.75
4,1,0,-18.64,405012.29
5,1,0,-18.64,405201.0
6,1,0,-18.64,404605.26
7,1,0,-18.64,404828.62
8,1,0,-18.64,405030.83
9,1,0,-18.64,404193.17
10,1,0,-18.64,404494.49
11,1,0,-18.64,406006.05
12,1,0,-18.64,404676.9
13,1,0,-18.64,404466.35
14,1,0,-18.64,402677.55
15,1,0,-18.64,405752.7
16,1,0,-18.64,406292.45
17,1,0,-18.64,405193.85
18,1,0,-18.64,404315.8
19,1,0,-18.64,404941.75
20,1,0,-18.64,405460.7
21,1,0,-18.64,404602.67
22,1,0,-18.64,404830.07
23,1,0,-18.64,405120.12
24,1,0,-18.64,404649.01
25,1,0,-18.64,404953.32
26,1,0,-18.64,404851.23
27,1,0,-18.64,404791.6
28,1,0,-18.64,404799.01
29,1,0,-18.64,405984.52
30,1,0,-18.64,404071.77
31,1,0,-18.64,407286.43
32,1,0,-18.64,406799.25
33,1,0,-18.64,406222.28
34,1,0,-18.64,403133.94
35,1,0,-18.64,406356.56
36,1,0,-18.64,405342.64
37,1,0,-18.64,405433.0
38,1,0,-18.64,405375.03
39,1,0,-18.64,405418.37
40,1,0,-18.64,405495.03
41,1,0,-18.64,405648.63
42,1,0,-18.64,403322.49
43,1,0,-18.64,406604.0
44,1,0,-18.64,406200.94
45,1,0,-18.64,407628.78
46,1,0,-18.64,404623.12
47,1,0,-18.64,404535.74
48,1,0,-18.64,404641.95
49,1,0,-18.64,404565.13
50,1,0,-18.64,404647.89
51,1,0,-18.64,405369.74
52,1,0,-18.64,404718.53
53,1,0,-18.64,404957.76
54,1,0,-18.64,405059.67
55,1,0,-18.64,405954.96
56,1,0,-18.64,409185.85
57,1,0,-18.64,408070.78
58,1,0,-18.64,404278.3
59,1,0,-18.64,404616.0
60,1,0,-18.64,407170.85
61,1,0,-18.64,405215.85
