Type,Min 0%,25%,50%,75%,Max 100%,Mean
3gpp,443548.0,446027.0,446027.0,446039.0,446039.0,446027.6537037037
trace-based,516045.0,519118.0,519118.0,519129.0,519129.0,519116.64814814815
MLPL,388416.0,394510.5,395956.0,397318.0,402308.0,395964.9944444444
real,5.97,273801.57499999995,285969.44,295636.4075,378632.41,284585.6001622575
