Type,Min 0%,25%,50%,75%,Max 100%,Mean
3gpp,401163.0,444127.0,444129.0,444132.0,444481.0,444051.39444444445
trace-based,464902.0,490576.0,490817.0,490990.0,494325.0,490760.7888888889
MLPL,464902.0,490576.0,490817.0,490990.0,494325.0,490760.7888888889
real,66258.0,459909.785,460201.6,460358.18,467175.43,456709.25884567894
