Type,Min 0%,25%,50%,75%,Max 100%,Mean
3gpp,401144.0,444127.0,444129.0,444132.0,444481.0,444051.36296296294
trace-based,464902.0,490576.0,490817.0,490990.0,494325.0,490760.7888888889
MLPL,360153.0,375357.0,376826.0,378241.25,384349.0,376718.93888888886
real,42635.08,458806.1625,460122.845,460532.9575,467999.87,448122.224746633
