Type,Min 0%,25%,50%,75%,Max 100%,Mean
3gpp,443548.0,446027.0,446027.0,446039.0,446039.0,446027.6537037037
trace-based,516045.0,519118.0,519118.0,519129.0,519129.0,519116.64814814815
MLPL,516045.0,519118.0,519118.0,519129.0,519129.0,519116.64814814815
real,135260.84,389261.49,395038.145,400624.505,429213.77,394175.6466966491
