Type,Min 0%,25%,50%,75%,Max 100%,Mean
3gpp,17823.5,37510.85,48846.350000000006,69022.975,100694.0,53398.52018518518
trace-based,360732.0,482559.0,482730.0,482825.0,487434.0,483436.47037037037
MLPL,298592.0,472024.25,474478.0,475761.25,481299.0,473584.8777777778
real,9437.09,65012.884999999995,68156.62,69204.49,110085.28,64412.00530387205
