Type,Min 0%,25%,50%,75%,Max 100%,Mean
3gpp,102717.0,110692.0,110692.0,110695.0,110784.0,110680.29444444444
trace-based,360732.0,482559.0,482730.0,482825.0,487434.0,483436.47037037037
MLPL,360732.0,482559.0,482730.0,482825.0,487434.0,483436.47037037037
real,79690.27,105916.77,106953.04,106955.4,141542.89,106577.33821516753
